level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1020	1600	-1	
2	1	1	0	0	0	40	63	968	1507	-1	
3	1	1	1	0	0	83	63	912	134	-1	
4	1	1	1	1	0	83	63	911	26	-1	
5	1	1	1	1	1	83	64	14	16	33.702942	9.
5	1	1	1	1	2	110	66	17	17	33.702942	In
5	1	1	1	1	3	149	66	27	16	93.321983	the
5	1	1	1	1	4	197	66	51	21	95.435127	given
5	1	1	1	1	5	271	65	61	20	95.435127	figure,
5	1	1	1	1	6	551	67	22	15	90.707695	14.
5	1	1	1	1	7	585	67	15	16	96.162445	In
5	1	1	1	1	8	612	68	25	16	96.871819	the
5	1	1	1	1	9	651	68	59	21	93.299103	figure,
5	1	1	1	1	10	723	67	51	20	91.570015	PQRS
5	1	1	1	1	11	788	67	12	16	96.585709	is
5	1	1	1	1	12	813	71	9	10	92.627670	4
5	1	1	1	1	13	835	63	119	22	90.806831	parallelogram
5	1	1	1	1	14	967	69	27	11	90.806831	with
4	1	1	1	2	0	110	82	884	35	-1	
5	1	1	1	2	1	110	92	77	18	85.068481	DE//BC,
5	1	1	1	2	2	200	92	28	16	96.872444	AE
5	1	1	1	2	3	240	98	12	7	96.872444	=
5	1	1	1	2	4	267	91	18	16	95.402336	15
5	1	1	1	2	5	299	95	32	12	83.154411	cm,
5	1	1	1	2	6	407	82	14	35	20.755510	jn
5	1	1	1	2	7	585	94	25	19	94.913261	PQ
5	1	1	1	2	8	621	100	11	7	94.913261	=
5	1	1	1	2	9	647	94	18	16	95.058098	16
5	1	1	1	2	10	677	99	26	11	75.387848	em
5	1	1	1	2	11	715	94	29	15	96.817421	and
5	1	1	1	2	12	756	93	28	19	96.896797	QR
5	1	1	1	2	13	797	98	11	7	96.872818	=
5	1	1	1	2	14	823	91	18	16	92.532944	10
5	1	1	1	2	15	853	95	25	10	91.673271	cm.
5	1	1	1	2	16	889	84	13	34	91.673271	L
5	1	1	1	2	17	920	96	11	9	89.615982	is
5	1	1	1	2	18	944	97	7	9	89.615982	a
5	1	1	1	2	19	962	96	32	14	57.182827	poirg
4	1	1	1	3	0	109	116	886	21	-1	
5	1	1	1	3	1	109	119	26	16	95.789276	EC
5	1	1	1	3	2	145	125	11	7	94.607796	=
5	1	1	1	3	3	167	119	9	16	94.607796	9
5	1	1	1	3	4	186	123	30	13	94.682991	cm,
5	1	1	1	3	5	227	118	28	16	96.420395	NC
5	1	1	1	3	6	266	124	10	7	95.965912	=
5	1	1	1	3	7	287	118	10	15	95.955406	6
5	1	1	1	3	8	307	121	25	12	90.251404	cm
5	1	1	1	3	9	585	124	19	12	96.579590	on
5	1	1	1	3	10	614	120	24	16	96.774429	PR
5	1	1	1	3	11	648	121	40	15	96.090134	such
5	1	1	1	3	12	697	120	32	16	96.090134	that
