level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1241	1754	-1	
2	1	1	0	0	0	140	155	952	1512	-1	
3	1	1	1	0	0	140	155	952	1512	-1	
4	1	1	1	1	0	140	155	746	19	-1	
5	1	1	1	1	1	140	155	39	19	96.830490	Step
5	1	1	1	1	2	188	156	24	14	93.732803	11:
5	1	1	1	1	3	224	156	47	14	95.656319	From
5	1	1	1	1	4	279	155	31	15	93.774376	AB
5	1	1	1	1	5	318	160	18	10	59.987202	©
5	1	1	1	1	6	344	156	32	14	96.409683	DF
5	1	1	1	1	7	385	156	32	14	96.261208	and
5	1	1	1	1	8	425	155	32	16	96.261208	BC
5	1	1	1	1	9	464	160	18	10	63.406929	+
5	1	1	1	1	10	490	156	38	16	96.320137	DE,
5	1	1	1	1	11	537	157	55	13	90.404541	vertex
5	1	1	1	1	12	600	156	13	14	90.404541	B
5	1	1	1	1	13	622	158	42	12	96.368004	must
5	1	1	1	1	14	673	156	98	18	96.047050	correspond
5	1	1	1	1	15	779	157	17	13	96.990982	to
5	1	1	1	1	16	804	157	55	13	92.918510	vertex
5	1	1	1	1	17	867	156	19	14	87.440010	D.
4	1	1	1	2	0	140	195	743	19	-1	
5	1	1	1	2	1	140	195	39	19	96.320145	Step
5	1	1	1	2	2	188	196	24	14	95.768951	12:
5	1	1	1	2	3	224	196	47	14	96.970627	From
5	1	1	1	2	4	279	195	32	16	85.266220	BC
5	1	1	1	2	5	318	200	18	10	82.850998	+
5	1	1	1	2	6	344	196	33	14	90.244537	DE
5	1	1	1	2	7	386	196	32	14	95.935989	and
5	1	1	1	2	8	426	195	30	16	94.893921	AC
5	1	1	1	2	9	464	199	18	11	66.924690	©
5	1	1	1	2	10	490	196	36	18	96.269463	FE,
5	1	1	1	2	11	535	198	55	12	93.238876	vertex
5	1	1	1	2	12	599	195	13	16	76.714897	C
5	1	1	1	2	13	620	197	43	13	95.049706	must
5	1	1	1	2	14	672	196	97	18	95.049706	correspond
5	1	1	1	2	15	777	199	18	11	96.886566	to
5	1	1	1	2	16	802	199	56	11	93.301590	vertex
5	1	1	1	2	17	866	196	17	14	92.004707	E.
4	1	1	1	3	0	140	235	514	19	-1	
5	1	1	1	3	1	140	235	39	19	96.865105	Step
5	1	1	1	3	2	188	236	24	15	96.182938	13:
5	1	1	1	3	3	224	236	39	14	96.424446	This
5	1	1	1	3	4	271	236	51	14	96.832924	leaves
5	1	1	1	3	5	330	238	55	12	96.692451	vertex
5	1	1	1	3	6	393	235	15	15	93.498795	A
5	1	1	1	3	7	416	236	125	18	93.498795	corresponding
5	1	1	1	3	8	549	238	18	12	95.394875	to
5	1	1	1	3	9	574	239	56	11	90.724518	vertex
5	1	1	1	3	10	638	236	16	14	90.724518	F.
4	1	1	1	4	0	140	276	665	19	-1	
5	1	1	1	4	1	140	276	39	19	96.975983	Step
5	1	1	1	4	2	188	277	24	14	95.914749	14:
5	1	1	1	4	3	224	276	90	19	95.914749	Therefore,
5	1	1	1	4	4	323	277	28	14	96.582108	the
5	1	1	1	4	5	359	280	61	11	91.373566	correct
5	1	1	1	4	6	428	277	85	18	96.835472	similarity
5	1	1	1	4	7	521	278	88	13	96.935982	statement
5	1	1	1	4	8	617	277	13	14	93.302010	is
5	1	1	1	4	9	639	276	65	16	91.259354	AABC
5	1	1	1	4	10	712	283	14	5	91.259354	~
5	1	1	1	4	11	739	276	26	15	6.599541	AF
5	1	1	1	4	12	768	266	37	34	6.599541	DE.
4	1	1	1	5	0	151	328	842	19	-1	
5	1	1	1	5	1	151	329	82	14	96.446663	Answer:
5	1	1	1	5	2	242	329	35	14	96.983246	The
5	1	1	1	5	3	285	329	76	18	96.976059	triangles
5	1	1	1	5	4	369	334	27	9	96.672523	are
5	1	1	1	5	5	404	329	60	14	95.855667	similar
5	1	1	1	5	6	472	329	21	18	96.656670	by
5	1	1	1	5	7	501	328	38	16	16.430511	SSS.
5	1	1	1	5	8	548	329	35	14	96.799294	The
5	1	1	1	5	9	591	331	60	12	94.911804	correct
5	1	1	1	5	10	660	329	137	18	94.911804	correspondence
5	1	1	1	5	11	805	329	13	14	93.300323	is
5	1	1	1	5	12	826	328	66	16	79.671455	AABC
5	1	1	1	5	13	899	335	14	5	82.236778	~
5	1	1	1	5	14	921	328	72	15	88.070259	AFDE.
4	1	1	1	6	0	151	440	130	23	-1	
5	1	1	1	6	1	151	440	107	23	96.640190	Question
5	1	1	1	6	2	269	441	12	17	97.001328	6
4	1	1	1	7	0	151	495	940	20	-1	
5	1	1	1	7	1	151	495	99	19	96.900955	Question:
5	1	1	1	7	2	261	496	19	14	92.328293	In
5	1	1	1	7	3	288	496	92	18	92.328293	trapezium
5	1	1	1	7	4	388	495	61	16	96.814316	ABCD
5	1	1	1	7	5	457	496	41	14	96.766975	with
5	1	1	1	7	6	506	495	29	15	95.642784	AB
5	1	1	1	7	7	545	495	5	20	92.075394	||
5	1	1	1	7	8	561	495	35	17	96.857857	DC,
5	1	1	1	7	9	605	495	85	19	96.915375	diagonals
5	1	1	1	7	10	698	496	77	14	96.882828	intersect
5	1	1	1	7	11	784	498	16	12	93.255768	at
5	1	1	1	7	12	810	496	16	14	90.400230	P.
5	1	1	1	7	13	835	496	51	14	96.917587	Prove
5	1	1	1	7	14	896	495	18	20	93.298508	(i)
5	1	1	1	7	15	924	495	65	15	86.192390	AAPB
5	1	1	1	7	16	997	502	14	5	86.192390	~
5	1	1	1	7	17	1019	495	72	19	96.256058	ACPD;
4	1	1	1	8	0	149	521	226	20	-1	
5	1	1	1	8	1	149	521	24	20	85.428459	(ii)
5	1	1	1	8	2	183	521	39	15	87.033981	PA-
5	1	1	1	8	3	230	522	32	14	94.048164	PD
5	1	1	1	8	4	270	528	13	5	93.304703	=
5	1	1	1	8	5	292	522	40	14	86.300194	PB-
5	1	1	1	8	6	340	521	35	16	91.869606	PC.
4	1	1	1	9	0	151	559	816	20	-1	
5	1	1	1	9	1	151	559	85	15	96.497238	Solution
5	1	1	1	9	2	244	559	66	15	93.297951	Given:
5	1	1	1	9	3	319	560	96	18	91.643982	Trapezium
5	1	1	1	9	4	423	559	59	16	96.734268	ABCD
5	1	1	1	9	5	490	560	40	14	96.481926	with
5	1	1	1	9	6	538	559	28	15	96.884995	AB
5	1	1	1	9	7	577	559	5	20	95.434998	||
5	1	1	1	9	8	593	559	34	18	96.587860	DC,
5	1	1	1	9	9	636	560	83	18	96.025429	diagonals
