level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1241	1754	-1	
2	1	1	0	0	0	150	82	939	724	-1	
3	1	1	1	0	0	150	82	939	540	-1	
4	1	1	1	1	0	150	82	939	21	-1	
5	1	1	1	1	1	150	83	89	20	96.279259	Similarity
5	1	1	1	1	2	246	83	20	20	96.298477	of
5	1	1	1	1	3	270	82	82	21	93.099930	Triangles
5	1	1	1	1	4	359	92	20	2	93.099930	—
5	1	1	1	1	5	386	83	52	19	97.001579	Quick
5	1	1	1	1	6	443	83	51	15	96.924538	Notes
5	1	1	1	1	7	502	82	64	20	96.579559	(Grade
5	1	1	1	1	8	575	83	28	19	96.286743	10)
5	1	1	1	1	9	1079	83	10	16	96.406944	9
4	1	1	1	2	0	150	151	304	22	-1	
5	1	1	1	2	1	150	152	109	21	96.719727	Formula
5	1	1	1	2	2	268	152	46	21	96.835960	and
5	1	1	1	2	3	323	152	54	21	96.597328	Fact
5	1	1	1	2	4	386	151	68	22	96.913094	Sheet
4	1	1	1	3	0	182	266	477	21	-1	
5	1	1	1	3	1	182	266	52	21	96.762901	Topic
5	1	1	1	3	2	456	266	36	21	96.967445	Key
5	1	1	1	3	3	499	266	50	16	93.144753	Facts
5	1	1	1	3	4	555	266	7	17	93.144753	/
5	1	1	1	3	5	567	266	92	16	96.708946	Formulas
4	1	1	1	4	0	182	305	618	22	-1	
5	1	1	1	4	1	182	306	90	21	96.694420	Similarity
5	1	1	1	4	2	279	306	73	16	96.942375	notation
5	1	1	1	4	3	456	307	60	16	90.260223	AABC
5	1	1	1	4	4	525	314	12	4	89.411255	~
5	1	1	1	4	5	546	305	87	20	32.358303	AA‘B’C’;
5	1	1	1	4	6	640	307	42	20	96.827240	keep
5	1	1	1	4	7	689	309	54	13	96.897881	vertex
5	1	1	1	4	8	750	306	50	16	96.698273	order.
4	1	1	1	5	0	497	330	196	17	-1	
5	1	1	1	5	1	497	330	42	16	0.000000	AB’
5	1	1	1	5	2	551	321	14	39	70.168373	_
5	1	1	1	5	3	573	330	43	17	67.171227	BIC’
5	1	1	1	5	4	626	321	14	39	67.171227	_
5	1	1	1	5	5	650	330	43	17	7.638454	CA’
4	1	1	1	6	0	182	345	519	16	-1	
5	1	1	1	6	1	182	345	48	16	96.271118	Scale
5	1	1	1	6	2	237	345	52	16	96.903473	factor
5	1	1	1	6	3	456	345	85	16	83.650414	k=——
5	1	1	1	6	4	551	352	12	6	88.179108	=
5	1	1	1	6	5	573	355	45	2	77.262505	——
5	1	1	1	6	6	627	352	12	6	71.707138	=
5	1	1	1	6	7	649	355	52	6	42.805996	—.
4	1	1	1	7	0	504	362	182	16	-1	
5	1	1	1	7	1	504	362	29	15	96.964897	AB
5	1	1	1	7	2	580	362	30	16	96.847198	BC
5	1	1	1	7	3	657	362	29	16	95.194855	CA
4	1	1	1	8	0	182	381	571	21	-1	
5	1	1	1	8	1	182	382	54	20	96.727005	Angle
5	1	1	1	8	2	243	381	72	21	96.710526	equality
5	1	1	1	8	3	457	382	25	15	46.336876	LA
5	1	1	1	8	4	491	388	12	6	72.193161	=
